date,close,volume,open,high,low
6/5/2019,196.59,13510760,198.68,201.2782,191.8486
6/4/2019,193.6,13807520,181.1,193.98,179.61
6/3/2019,178.97,13064410,185.51,186.68,176.9919
5/31/2019,185.16,10406730,185.1,189.9204,184.1
5/30/2019,188.22,7926475,188.75,192.255,187.02
5/29/2019,189.86,11968640,187.1,192.39,185.0401
5/28/2019,188.7,10312900,191.2,195,187.85
5/24/2019,190.63,14136570,199.83,199.98,188.7505
5/23/2019,195.49,26547140,194.34,199.465,186.22
5/22/2019,192.73,18685190,199.1,203.94,191.78
5/21/2019,205.08,18003900,197.76,207.4,196.04
5/20/2019,205.36,20526200,202.8,206,195.25
5/17/2019,211.03,17786670,221.96,222.24,208.92
5/16/2019,228.33,7483273,229.49,231,226.5
5/15/2019,231.95,7295976,229.32,232.44,225.25
5/14/2019,232.31,7252412,229.3,234.5,228
5/13/2019,227.01,10834800,232.01,232.47,224.5
5/10/2019,239.52,7008336,239.75,241.99,236.02
5/9/2019,241.98,6711382,242,243.68,236.9434
5/8/2019,244.84,6176440,246.94,250.599,244.2
5/7/2019,247.06,10131410,256.8,257.21,245.1
5/6/2019,255.34,10833940,250.02,258.3499,248.5
5/3/2019,255.03,23706770,243.86,256.61,243.49
5/2/2019,244.1,18159340,245.52,247.13,237.72
5/1/2019,234.01,10704350,238.85,240,231.5
4/30/2019,238.69,9446965,242.06,244.21,237
4/29/2019,241.47,16686620,235.86,243.98,232.17
4/26/2019,235.14,22151160,246.5,246.68,231.13
4/25/2019,247.63,21823380,255,259,246.07
4/24/2019,258.66,9657061,263.85,265.32,258
4/23/2019,263.9,10909350,260.15,265.6,255.75
4/22/2019,262.75,12101690,269,269.68,262.48
4/18/2019,273.26,5861478,271.23,274.84,269.75
4/17/2019,271.23,5118011,274.75,274.79,268.535
4/16/2019,273.36,7266504,265.75,275,264.72
4/15/2019,266.38,10032490,268.63,268.88,258.63
4/12/2019,267.7,6735386,270.22,271.95,266.83
4/11/2019,268.42,9781294,268.3,270.5,265.6
4/10/2019,276.06,7045034,276.74,278.38,272.8925
4/9/2019,272.31,5893247,271.65,275,269.61
4/8/2019,273.2,10364600,277.69,281.16,270.44
4/5/2019,274.96,13022740,269.86,276.1,266.11
4/4/2019,267.78,23680170,261.89,271.2,260.59
4/3/2019,291.81,7916650,287.32,296.17,287.17
4/2/2019,285.88,5427184,288.3,289.44,283.88
4/1/2019,289.18,8093134,282.62,289.2,281.281
3/29/2019,279.86,5980355,278.7,280.16,274.5
3/28/2019,278.62,6764921,277.16,280.33,275.1
3/27/2019,274.83,8752384,268.75,275.37,268.1838
3/26/2019,267.77,7341868,264.44,270.26,264.43
3/25/2019,260.42,10205080,259.71,263.18,254.46
3/22/2019,264.53,8721950,272.58,272.8,264
3/21/2019,274.02,5930925,272.6,276.45,268.45
3/20/2019,273.6,6881976,269.69,274.97,266.3
3/19/2019,267.47,11774330,267.5,273.3,263.46
3/18/2019,269.49,10264960,276,278.05,267.3
3/15/2019,275.43,14757360,283.51,283.7244,274.4
3/14/2019,289.96,7048138,292.45,295.39,288.29
3/13/2019,288.96,6817854,283.9,291.99,282.7
3/12/2019,283.36,7488037,286.49,288.07,281.06
3/11/2019,290.92,7372298,283.52,291.28,280.5
3/8/2019,284.14,8805772,276.91,285.59,275.89
3/7/2019,276.59,9410697,278.84,284.7,274.25
3/6/2019,276.24,10319370,276.48,281.5058,274.39
3/5/2019,276.54,18729800,282,284,270.1
